Label Number;Box Number;Company Name;Company Address;Product Description;GTIN14;Batch;Amount;Expiration Date;Net weight
9;7;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Mel Natural 250g;15901234567895;L573472;14;10/02/2026;4.43
9;8;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Arroz Carolino 1kg;15901234567892;L800899;50;28/12/2025;50.42
9;9;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Água Mineral 500ml;15901234567902;L675774;44;10/01/2026;22.38
10;1;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Snacks Salgados 200g;15901234567904;L967847;7;29/07/2025;1.56
10;2;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Vinho Tinto 750ml;15901234567893;L742780;21;22/02/2026;25.54
10;3;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Água Mineral 500ml;15901234567902;L198772;12;01/09/2025;6.14
10;4;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Arroz Carolino 1kg;15901234567892;L994566;38;29/09/2025;38.19
10;5;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Bacalhau Seco 500g;15901234567896;L589493;33;17/10/2025;16.89
10;6;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Azeite Extra Virgem 500ml;15901234567890;L112721;7;18/11/2025;3.78
10;7;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Mel Natural 250g;15901234567895;L234890;49;29/04/2026;14.94
10;8;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Conserva de Tomate 400g;15901234567891;L505815;25;21/10/2025;10.15
10;9;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Conserva de Tomate 400g;15901234567891;L531990;26;02/10/2025;10.73
11;1;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Atum em Conserva 120g;15901234567903;L781636;45;06/12/2025;6.25
11;2;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Azeite Extra Virgem 500ml;15901234567890;L425453;24;16/12/2025;12.46
11;3;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Sumo Laranja 1L;15901234567901;L513910;17;01/05/2026;18.29
11;4;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Sumo Laranja 1L;15901234567901;L868316;27;14/07/2025;28.62
11;5;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L210008;42;13/10/2025;21.28
12;1;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Café Torrado 250g;15901234567899;L405272;34;24/05/2026;8.83
12;2;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Snacks Salgados 200g;15901234567904;L387734;20;22/01/2026;4.34
12;3;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Bacalhau Seco 500g;15901234567896;L442729;26;11/12/2025;13.44
12;4;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Chocolate Negro 100g;15901234567900;L989323;31;05/01/2026;3.42
12;5;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Café Torrado 250g;15901234567899;L565628;30;26/01/2026;7.68
12;6;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Água Mineral 500ml;15901234567902;L399258;12;29/11/2025;6.46
14;1;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Queijo Curado 200g;15901234567894;L649381;1;21/09/2025;0.4
14;2;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Vinho Tinto 750ml;15901234567893;L779138;48;08/08/2025;58.08
14;3;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Snacks Salgados 200g;15901234567904;L535531;26;15/11/2025;5.45
14;4;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Massa Fusilli 500g;15901234567898;L755851;13;19/05/2026;6.75
16;1;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Atum em Conserva 120g;15901234567903;L673436;38;02/10/2025;5.07
16;2;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Água Mineral 500ml;15901234567902;L409113;15;06/08/2025;7.61
16;3;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Bacalhau Seco 500g;15901234567896;L286974;18;04/05/2026;9.31
16;4;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Massa Fusilli 500g;15901234567898;L837785;2;10/01/2026;1.3
16;5;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Café Torrado 250g;15901234567899;L611894;29;23/01/2026;7.48
16;6;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Chocolate Negro 100g;15901234567900;L967497;34;07/11/2025;3.56
16;7;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Sumo Laranja 1L;15901234567901;L402448;26;01/11/2025;27.77
16;8;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Mel Natural 250g;15901234567895;L132075;5;18/03/2026;1.63
17;1;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Conserva de Tomate 400g;15901234567891;L845941;34;25/12/2025;13.88
17;2;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Café Torrado 250g;15901234567899;L430867;8;11/04/2026;2.25
17;3;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Sumo Laranja 1L;15901234567901;L842030;44;07/02/2026;46.55
17;4;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Vinho Tinto 750ml;15901234567893;L847612;13;08/12/2025;15.84
17;5;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Água Mineral 500ml;15901234567902;L539425;26;16/08/2025;13.31
17;6;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Café Torrado 250g;15901234567899;L614737;50;24/04/2026;12.77
18;1;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Vinho Tinto 750ml;15901234567893;L186399;15;13/09/2025;18.14
18;2;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Vinho Tinto 750ml;15901234567893;L159235;13;18/11/2025;16.09
18;3;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Conserva de Tomate 400g;15901234567891;L561566;23;13/03/2026;9.68
19;1;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Sumo Laranja 1L;15901234567901;L504883;48;29/03/2026;50.78
19;2;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Sumo Laranja 1L;15901234567901;L833410;15;02/02/2026;16.17
20;1;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Queijo Curado 200g;15901234567894;L450277;20;21/10/2025;4.39
20;2;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Chocolate Negro 100g;15901234567900;L233866;18;27/07/2025;2.2
20;3;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Água Mineral 500ml;15901234567902;L794591;2;09/09/2025;1.26
21;1;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Sumo Laranja 1L;15901234567901;L253443;14;04/10/2025;14.91
22;1;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Snacks Salgados 200g;15901234567904;L816176;12;01/11/2025;2.52
22;2;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Água Mineral 500ml;15901234567902;L310916;46;01/03/2026;23.47
22;3;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Atum em Conserva 120g;15901234567903;L775837;14;22/08/2025;1.92
22;4;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Mel Natural 250g;15901234567895;L218771;14;06/11/2025;4.67
22;5;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Atum em Conserva 120g;15901234567903;L499936;31;10/02/2026;4.44
22;6;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Massa Fusilli 500g;15901234567898;L696912;50;05/01/2026;25.11
22;7;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Queijo Curado 200g;15901234567894;L196889;16;19/05/2026;3.4
22;8;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Água Mineral 500ml;15901234567902;L591119;40;05/09/2025;20.38
22;9;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Azeite Extra Virgem 500ml;15901234567890;L617263;13;26/09/2025;6.82
23;1;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Chocolate Negro 100g;15901234567900;L544851;43;27/10/2025;4.79
23;2;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Mel Natural 250g;15901234567895;L274142;34;05/06/2026;10.64
23;3;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Massa Fusilli 500g;15901234567898;L955344;26;02/06/2026;13.24
24;1;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Chocolate Negro 100g;15901234567900;L535926;32;25/12/2025;3.54
24;2;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Sumo Laranja 1L;15901234567901;L224045;37;06/05/2026;39.34
24;3;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Conserva de Tomate 400g;15901234567891;L863225;45;04/04/2026;18.25
24;4;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Mel Natural 250g;15901234567895;L202452;44;14/11/2025;13.53
24;5;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Arroz Carolino 1kg;15901234567892;L264418;21;11/10/2025;21.3
24;6;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L429884;14;18/11/2025;7.12
24;7;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Atum em Conserva 120g;15901234567903;L660180;18;11/11/2025;2.61
24;8;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Chocolate Negro 100g;15901234567900;L939246;3;05/06/2026;0.63
24;9;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Arroz Carolino 1kg;15901234567892;L454556;3;09/09/2025;3.41
25;1;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Massa Fusilli 500g;15901234567898;L912393;36;20/08/2025;18.22
25;2;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Conserva de Tomate 400g;15901234567891;L649990;4;17/03/2026;2.05
25;3;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Snacks Salgados 200g;15901234567904;L483726;34;11/10/2025;7.28
25;4;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Água Mineral 500ml;15901234567902;L812704;3;07/11/2025;1.83
25;5;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Mel Natural 250g;15901234567895;L969884;12;29/11/2025;4.03
25;6;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Sumo Laranja 1L;15901234567901;L865446;20;22/09/2025;21.34
26;1;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Conserva de Tomate 400g;15901234567891;L875661;45;10/09/2025;18.36
26;2;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Água Mineral 500ml;15901234567902;L923244;47;19/05/2026;23.82
26;3;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Atum em Conserva 120g;15901234567903;L860792;30;13/02/2026;4.31
26;4;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Água Mineral 500ml;15901234567902;L164430;46;19/10/2025;23.42
27;1;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Queijo Curado 200g;15901234567894;L640350;8;30/10/2025;1.92
27;2;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Snacks Salgados 200g;15901234567904;L562409;33;27/11/2025;6.83
27;3;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Sumo Laranja 1L;15901234567901;L277413;7;23/11/2025;7.5
27;4;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Chocolate Negro 100g;15901234567900;L206938;40;10/03/2026;4.38
27;5;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Bacalhau Seco 500g;15901234567896;L785716;15;14/10/2025;7.92
28;1;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Queijo Curado 200g;15901234567894;L170694;33;17/10/2025;7.0
28;2;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Snacks Salgados 200g;15901234567904;L279729;15;27/11/2025;3.36
28;3;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Atum em Conserva 120g;15901234567903;L785901;9;12/05/2026;1.49
28;4;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Água Mineral 500ml;15901234567902;L562250;23;13/06/2026;11.61
28;5;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Bacalhau Seco 500g;15901234567896;L878289;2;04/06/2026;1.37
29;1;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Massa Fusilli 500g;15901234567898;L265444;29;27/05/2026;14.72
30;1;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Queijo Curado 200g;15901234567894;L153923;46;23/05/2026;9.66
30;2;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Queijo Curado 200g;15901234567894;L979215;23;30/05/2026;5.04
30;3;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Arroz Carolino 1kg;15901234567892;L148792;6;06/05/2026;6.18
32;1;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Café Torrado 250g;15901234567899;L690762;33;17/01/2026;8.59
32;2;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Água Mineral 500ml;15901234567902;L457182;30;09/11/2025;15.47
32;3;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Queijo Curado 200g;15901234567894;L870249;11;28/10/2025;2.68
32;4;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Conserva de Tomate 400g;15901234567891;L832660;22;03/02/2026;9.18
32;5;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Vinho Tinto 750ml;15901234567893;L671315;44;13/09/2025;53.03
32;6;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Azeite Extra Virgem 500ml;15901234567890;L606447;43;22/04/2026;21.78
32;7;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Mel Natural 250g;15901234567895;L990268;47;05/03/2026;14.52
32;8;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Massa Fusilli 500g;15901234567898;L938859;50;05/02/2026;25.37
33;1;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Arroz Carolino 1kg;15901234567892;L823800;3;29/01/2026;3.32
33;2;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Conserva de Tomate 400g;15901234567891;L625326;48;20/03/2026;19.61
33;3;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Massa Fusilli 500g;15901234567898;L626002;46;21/02/2026;23.24
33;4;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Snacks Salgados 200g;15901234567904;L433506;43;15/09/2025;8.78
33;5;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Café Torrado 250g;15901234567899;L593205;43;13/07/2025;10.9
33;6;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Conserva de Tomate 400g;15901234567891;L838092;6;17/05/2026;2.57
33;7;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Massa Fusilli 500g;15901234567898;L990633;47;29/03/2026;23.75
33;8;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Azeitonas Verdes 300g;15901234567897;L756402;1;18/10/2025;0.53
33;9;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Atum em Conserva 120g;15901234567903;L676536;44;16/10/2025;6.02
34;1;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Azeitonas Verdes 300g;15901234567897;L450253;18;22/03/2026;6.78
34;2;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Água Mineral 500ml;15901234567902;L985035;7;12/06/2026;3.67
35;1;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Água Mineral 500ml;15901234567902;L152585;17;12/01/2026;8.97
36;1;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Atum em Conserva 120g;15901234567903;L886454;6;09/09/2025;1.16
36;2;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Água Mineral 500ml;15901234567902;L262495;7;21/09/2025;3.87
36;3;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Mel Natural 250g;15901234567895;L322822;22;01/04/2026;6.83
36;4;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Queijo Curado 200g;15901234567894;L936469;22;24/05/2026;4.55
36;5;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Snacks Salgados 200g;15901234567904;L387107;43;12/10/2025;8.85
36;6;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Massa Fusilli 500g;15901234567898;L564380;7;23/08/2025;3.87
37;1;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Atum em Conserva 120g;15901234567903;L928338;28;29/05/2026;3.89
38;1;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Azeitonas Verdes 300g;15901234567897;L392678;14;18/05/2026;5.18
38;2;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Massa Fusilli 500g;15901234567898;L148540;10;30/01/2026;5.15
38;3;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Atum em Conserva 120g;15901234567903;L917668;19;12/06/2026;2.71
38;4;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Arroz Carolino 1kg;15901234567892;L786741;7;08/08/2025;7.48
38;5;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Sumo Laranja 1L;15901234567901;L218830;48;03/09/2025;50.72
38;6;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Chocolate Negro 100g;15901234567900;L885721;45;05/11/2025;4.71
38;7;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Vinho Tinto 750ml;15901234567893;L575717;32;14/04/2026;38.64
39;1;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Queijo Curado 200g;15901234567894;L451042;6;29/05/2026;1.56
39;2;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Azeitonas Verdes 300g;15901234567897;L979824;30;12/06/2026;10.94
40;1;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Sumo Laranja 1L;15901234567901;L622636;23;14/04/2026;24.54
40;2;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Mel Natural 250g;15901234567895;L338556;2;04/12/2025;0.74
40;3;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Snacks Salgados 200g;15901234567904;L952523;3;15/11/2025;0.83
40;4;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Vinho Tinto 750ml;15901234567893;L561426;49;12/05/2026;59.06
40;5;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Conserva de Tomate 400g;15901234567891;L439896;43;16/12/2025;17.61
43;1;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Queijo Curado 200g;15901234567894;L950782;34;19/11/2025;6.93
43;2;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Atum em Conserva 120g;15901234567903;L374784;45;24/01/2026;6.07
43;3;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Bacalhau Seco 500g;15901234567896;L490320;36;22/05/2026;18.21
43;4;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Água Mineral 500ml;15901234567902;L882157;32;17/11/2025;16.18
43;5;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Conserva de Tomate 400g;15901234567891;L138291;1;29/07/2025;0.73
43;6;Produtos Naturais SA;Av. da República, 456, 4000-001 Porto;Arroz Carolino 1kg;15901234567892;L350906;24;22/12/2025;24.3
43;7;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L344403;32;14/01/2026;16.35
43;8;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Mel Natural 250g;15901234567895;L171714;30;29/07/2025;9.35
44;1;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Queijo Curado 200g;15901234567894;L633456;27;21/10/2025;5.83
44;2;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Conserva de Tomate 400g;15901234567891;L151094;38;09/08/2025;15.68
45;1;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Atum em Conserva 120g;15901234567903;L339953;10;19/05/2026;1.78
45;2;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L453821;40;01/04/2026;20.25
45;3;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Azeitonas Verdes 300g;15901234567897;L531826;49;18/09/2025;17.25
45;4;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Azeite Extra Virgem 500ml;15901234567890;L498914;35;09/08/2025;17.95
45;5;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Snacks Salgados 200g;15901234567904;L124086;8;29/09/2025;1.72
45;6;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Café Torrado 250g;15901234567899;L991486;36;07/10/2025;9.3
46;1;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Azeitonas Verdes 300g;15901234567897;L881560;23;07/12/2025;8.4
46;2;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Sumo Laranja 1L;15901234567901;L346559;14;27/09/2025;14.86
46;3;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Vinho Tinto 750ml;15901234567893;L371281;6;21/05/2026;7.4
