Label Number;Company Name;Company Address;Product Description;Net weight;Batch Number;Country of origin;SN - Serial Number;Expiration Date;GTIN-14
17;Global Tech;R. Mendes, 25, 7684-028 Angra do Heroísmo;Vinho;49.51 kg;20148;Itália;AHYZHOHMWAYE;07/09/2030;17923490341430
18;Química Duarte;Av Rocha, 91, 1358-303 Estremoz; Azeite;12819 mL;28391;França;6AZ037TKIISQ;17/01/2031;96099494897674
19;Empresa do José;Rua Laura Matos, 515, 1043-848 Póvoa de Santa Iria;Madeira;1613 g;45063;China;Z1VEPOF7JLAZ;12/10/2030;82350328911054
20;Empresa do José;Av do Cerco do Porto, 30, 2028-724 Alcácer do Sal;Madeira;4 un;79185;Itália;NQZP1P4LUPCY;08/11/2033;69849487073417
21;Empresa Alfa;R. de Mendes, 688, 6726-803 Almeirim;Pão;748 un;74567;Brasil;34E001PD7FWM;NODATE;37977476736869
22;Padaria Central;Travessa de Paiva, 765, 0274-462 Fátima;Computador;545 un;85381;Alemanha;IQ8GKUDB3NON;29/05/2029;77853634612188
23;Empresa do João;Alameda Sara Jesus, 725, 3088-164 Entroncamento;Madeira;6228 g;71925;Brasil;ELI1A2AHZ1ML;NODATE;77582214232258
24;Global Tech;R. de Freitas, 270, 3830-993 Tavira;Vinho;12326 mL;33502;China;DM6LSYBZY3X8;16/11/2032;46520281297700
25;Móveis Raiz;Travessa de Santos, 83, 1932-603 Sabugal;Farinha;103 un;96616;Itália;KDTP3DRMSKO2;NODATE;34225313520478
26;Móveis Raiz;Alameda Renato Rocha, 999, 0983-099 Costa da Caparica;Farinha;147 un;18351;Portugal;JPE1TL69YQXW;29/02/2032;01498763402555
27;Global Tech;Alameda Sousa, 91, 4561-526 Amora; Azeite;366.21 L;94827;Alemanha;2AKU0GHHUZY6;24/07/2030;15836676540867
28;Química Duarte;Praça do Calhau, 5, 1458-178 Figueira da Foz;Pão;147.01 L;54987;Espanha;4QURNSN8C093;15/07/2030;99500585354325
29;Empresa Alfa;Rua de Anjos, 80, 8296-190 Mealhada;Impressora;16140 mL;90220;Espanha;88DTVBQH5FBA;NODATE;13805877048775
30;Empresa do João;Praça Cruz, 7, 8427-504 Ourém;Cadeira;9294 mL;80161;França;MROK2ZI5WAB0;NODATE;03707730542837
31;Empresa Alfa;Avenida Flor Leal, S/N, 7785-333 Fiães;Vinho;464.51 L;66613;Itália;CWK7RQLSW8XE;30/07/2025;47222296449309
32;Empresa do José;Av de Faria, S/N, 5879-669 Barcelos;Computador;5874 mL;64495;Brasil;MJFQS6HF9WG7;29/11/2034;14834441582257
33;Química Duarte;Largo de Mendes, 48, 0088-162 Vila do Conde;Farinha;18751 mL;23739;Portugal;PU6XR0LSA4HR;NODATE;18624860073768
34;Empresa Alfa;Praça de Luís António Verney, 23, 5877-022 Vila Nova de Santo André;Farinha;19042 mL;55174;China;SFVZVDZ818JJ;NODATE;50980019685491
35;Empresa do José;Alameda de Tavares, 20, 0642-871 Santiago do Cacém;Pão;281.84 kg;68209;Portugal;QZEP2323IC2I;18/11/2027;57047978517354
36;Empresa do João;Av do Rego Lameiro, S/N, 7377-232 Tarouca; Azeite;10862 g;32513;Brasil;JK2CNTZ3VGOL;13/11/2030;91882326423014
37;Empresa do João;Av Filipe Pereira, S/N, 3339-655 Portimão; Azeite;15544 mL;42814;Itália;YDS8IVRE7H2O;27/10/2028;61067732156786
38;Empresa do José;Largo Jorge Rodrigues, 38, 4122-226 Macedo de Cavaleiros;Pão;458.9 kg;83267;Espanha;M6H3U3P7LE0X;21/01/2028;10887755717096
39;Empresa Alfa;Praça Velho do Outeiro, 14, 1294-948 Póvoa de Varzim;Vinho;15426 g;50894;Brasil;Y84MTQNR9WII;NODATE;45539065026242
40;Móveis Raiz;Alameda Neto, 35, 7664-354 Cantanhede;Vinho;285.97 kg;21305;Brasil;YDNYQ0CMZY04;24/08/2031;88539671121782
41;Têxtil Lusa;Praça Anjos, S/N, 1212-142 Marinha Grande;Vinho;120.68 kg;76670;Alemanha;V2W7S85SE4YR;02/02/2028;99435264455143
42;Empresa do João;Largo Nacional 209, 48, 1389-853 Trofa;Impressora;265.38 L;31751;Alemanha;36K5H9U7NMJ9;15/03/2035;97899618920522
43;Química Duarte;Travessa Mafalda Pinto, 38, 7508-886 Aveiro;Farinha;193.17 kg;92388;Brasil;ENOQULYDXVO1;19/08/2029;88806878601195
44;Têxtil Lusa;Travessa de Vinte e Quatro de Agosto, 25, 5933-028 Setúbal;Madeira;812 un;28780;Alemanha;Z288SWCWVCMX;NODATE;67049911529333
45;Empresa do João;Travessa Lia Campos, 79, 1556-017 Covilhã;Farinha;2030 g;70926;França;JWSBK7LLGC8E;20/10/2028;94816774987319
46;Empresa Alfa;Rua Matias, 764, 7062-415 Gafanha da Nazaré; Azeite;299.22 L;69204;Espanha;UD3H7J19CIBW;11/09/2025;11131024712822
47;Global Tech;Avenida Larissa Rocha, 593, 9368-189 Santiago do Cacém;Cadeira;814 un;66308;Espanha;UQ17SRQIJBTY;NODATE;44995656192382
48;Global Tech;Av de Magalhães, S/N, 6628-857 Vila Nova de Santo André;Impressora;471 un;34064;Brasil;AHR3GVZKHQDF;15/11/2025;28304943218449
49;Empresa do João;Praça Sousa, 33, 0348-462 Faro;Impressora;2124 mL;24214;Espanha;6CXZOA24UGUE;10/05/2030;86581035384398
50;Padaria Central;Rua Amália Rodrigues, 97, 9194-315 Vendas Novas;Impressora;578 un;83440;Alemanha;72WWBNC584HH;28/04/2028;66282834727546
51;Padaria Central;Avenida Campos, 39, 7609-406 Felgueiras;Farinha;14359 g;84041;Itália;Q5SAXBC9EEJ4;NODATE;65326644249693
52;Padaria Central;Largo dos Melros, 6, 8616-436 Quarteira;Madeira;948 un;85520;Espanha;XBQKNJMJCIZ1;13/12/2030;28052787158320
53;Global Tech;Avenida de Almeida, 67, 1271-589 Coimbra;Camisola;2468 mL;33181;França;TB8D3NF6NG30;NODATE;34697957267336
54;Têxtil Lusa;R. de Nogueira, 22, 8098-482 Almada;Computador;17426 g;89330;Alemanha;TKXKM661DDXU;NODATE;08369372643463
55;Química Duarte;R. Lourenço Santos, 96, 7668-382 Porto;Cadeira;250 un;95165;Espanha;HIXA7392MR31;NODATE;04674470633792
56;Têxtil Lusa;R. Madalena Morais, 81, 7633-643 Braga;Impressora;199.93 L;95739;Brasil;V9IQ9PN7RSB2;18/03/2034;64941652442375
57;Global Tech;Praça da Figueira, 94, 1663-932 Vizela;Madeira;402 g;77518;China;6JZL1CFLBLWK;22/05/2027;24987267167885
58;Padaria Central;Praça de Carvalho, 78, 1249-219 Espinho;Pão;103.83 L;44249;China;FGZDF9H1W84S;NODATE;47545822826137
59;Empresa do José;Avenida Inês Brito, 297, 4276-839 Mirandela;Camisola;12819 mL;45643;Alemanha;WQCMEY9ZCW1M;23/07/2033;82788540606432
60;Química Duarte;Av Cunha, 84, 1894-545 Sintra;Cadeira;257.28 kg;88568;Brasil;28I9YC95F9DU;04/11/2034;74986055409242
61;Empresa do João;Largo Andrade, S/N, 0894-093 Vila do Conde;Vinho;5.09 kg;60380;Espanha;H1R0MG6ECOX9;24/07/2030;24772708980768
62;Química Duarte;Rua Silva, S/N, 3671-003 Póvoa de Varzim; Azeite;16795 mL;87808;Brasil;8T1KV050G6TB;NODATE;47745007032155
63;Global Tech;Avenida Sá, S/N, 8826-858 Mêda; Azeite;471.68 L;67786;Brasil;2DT73EQ24YBV;05/08/2031;24517807614068
64;Empresa Alfa;Alameda do Sodré, 9, 6038-911 Santa Maria da Feira;Cadeira;85.13 kg;88683;Alemanha;XO9B3X2VJUTU;04/02/2028;39506033507065
65;Têxtil Lusa;Alameda Diana Lopes, 71, 9106-185 Seia;Pão;173.05 kg;39069;Portugal;HQV6MTWCFSL0;07/07/2027;23087292609380
66;Empresa Alfa;Avenida Ângelo Leal, 68, 2105-439 Amadora; Azeite;1659 mL;68500;Portugal;GNECSAWPVLB3;30/07/2033;16302224476654
67;Empresa do José;Alameda do Trancão, 2, 8455-790 Mangualde;Camisola;6462 mL;20656;Espanha;U1T5OPF35CQC;25/11/2025;38673229227208
68;Empresa Alfa;Rua Nicole Branco, 7, 1979-601 Tavira; Azeite;395.36 kg;65206;Espanha;FHR6UAFRDV0Z;30/05/2027;66739020997021
69;Empresa Alfa;R. da Pasteleira, 62, 7443-774 Vila Nova de Famalicão;Impressora;247.99 kg;65861;Portugal;C6NTCSXDVWJ9;19/07/2030;49922298512118
70;Empresa Alfa;Travessa Noa Rocha, 70, 8115-030 Marinha Grande;Madeira;96.23 L;25825;Alemanha;M7HEFRFPVFC4;12/08/2030;88956233978977
71;Móveis Raiz;Travessa Campos, 50, 7745-912 Figueira da Foz;Madeira;3053 mL;17208;Itália;JBXTJ1AD1PJK;12/03/2031;85043231030051
72;Química Duarte;Avenida de Cardoso, 15, 6371-193 Tondela;Vinho;92.28 kg;82926;França;V2MK23IWA1PT;NODATE;25749400871268
73;Padaria Central;Rua Rafael Neto, S/N, 7992-003 Peniche;Computador;226.77 kg;57361;Portugal;KOZTZW9XN3LU;13/11/2031;85413139321367
74;Química Duarte;Alameda Fernandes, 54, 3105-977 Vila Franca de Xira;Sabonete;269.2 kg;52230;China;22PLKOVBKMLC;09/02/2032;19939923035139
75;Padaria Central;Avenida Paiva, 8, 7361-704 Caniço; Azeite;9900 g;40409;Portugal;KDTGIU98BL4H;18/11/2025;70128374023526
76;Química Duarte;Travessa Assunção, 724, 4111-626 São João da Madeira;Sabonete;33.59 L;60921;Alemanha;8M609NDOP1WM;24/01/2029;28543009766352
77;Química Duarte;Praça de Lima, S/N, 3820-223 Gouveia;Camisola;7662 g;32517;Espanha;JXKTNDLVG5XJ;21/09/2031;18372582690636
78;Global Tech;Avenida Almeida, 28, 4785-170 Mirandela;Cadeira;159.73 kg;78169;China;89NXA6QOO318;NODATE;84870947289560
79;Empresa Alfa;R. do Seminário, 2, 0554-926 Tomar;Computador;78 un;11254;Alemanha;Z8URSAWZQ9O1;NODATE;45811849415953
80;Empresa do José;Praça Branco, 507, 6509-489 Estremoz;Sabonete;222.77 L;74134;Brasil;VYAQQLOQOU0H;12/08/2029;29566938339880
81;Química Duarte;Largo Maria Mota, 5, 1674-001 Rio Tinto;Sabonete;109.81 kg;81517;França;372L857FPVKM;NODATE;78362254061323
82;Global Tech;Praça de Loureiro, 368, 9986-988 Fundão;Vinho;73.68 L;54541;Portugal;HLNS6GU62GSL;NODATE;18438950828605
83;Empresa do João;R. de Amorim, 27, 8731-407 Fiães;Farinha;493.95 kg;15041;Portugal;UU7MXH3WZQXU;07/01/2026;41553287076379
84;Têxtil Lusa;Praça de Loureiro, S/N, 6354-893 Santa Cruz; Azeite;151.31 L;84570;China;Y4OZR8JSP37E;23/01/2029;48954392857332
85;Empresa do João;Alameda de Azevedo, 27, 6653-145 Póvoa de Varzim;Cadeira;312.06 L;91967;Brasil;BNFEOR13MOLN;24/05/2035;58476000119120
86;Química Duarte;Rua Neves, 49, 7017-768 Setúbal;Computador;254.53 L;16654;China;QKPY6JH24AHD;11/08/2031;71530152252562
87;Global Tech;Av de Neto, 3, 1419-420 Costa da Caparica;Cadeira;217.27 L;52111;Portugal;S9YPHW9I2SM4;22/01/2032;47630638393468
88;Têxtil Lusa;Largo João Jayme Faria Affonso, 37, 7540-700 Mangualde;Farinha;39.62 kg;28807;Itália;8FKZ7SS1R05Z;NODATE;82020140368109
89;Móveis Raiz;Praça de Anjos, 757, 0309-178 Peso da Régua;Computador;441.81 kg;21556;Brasil;TFGTNJ1YVJIQ;23/10/2029;36946858955486
90;Têxtil Lusa;Praça Débora Gonçalves, 65, 1685-429 Portalegre;Vinho;13484 g;12250;França;0Y7P8FPMF9AJ;NODATE;06508111363347
91;Global Tech;Praça da Beneditina, S/N, 0861-529 Viana do Castelo;Camisola;55.97 L;62307;Portugal;AMZO6XGMVPYT;05/09/2025;25723892613777
92;Global Tech;Rua Ângela Figueiredo, 35, 7068-214 Serpa; Azeite;924 un;33863;Portugal;WZF6BOJ2PMBS;01/06/2034;68871977100050
93;Química Duarte;Alameda Inês Batista, 79, 7562-055 Paços de Ferreira;Vinho;16758 mL;26397;Portugal;KZETSR64H9K7;23/08/2033;01349447025155
94;Móveis Raiz;R. Clara Barbosa, 89, 4142-916 Barreiro;Pão;24.82 kg;56967;Alemanha;540CIN017NVL;09/07/2028;99464369017732
95;Química Duarte;Largo de Carreiras, 5, 7884-478 Rio Tinto;Computador;8924 mL;60672;Alemanha;R31F2DB9PY5J;13/06/2030;28716617190496
96;Móveis Raiz;Av Fonseca, 38, 2188-505 Viseu;Computador;428.04 L;16607;Espanha;83UV9VJ46C6Q;13/12/2028;08211714308838
97;Padaria Central;Largo Campos, 4, 5874-366 Elvas;Cadeira;151.52 L;37853;Brasil;V4WZLROECJ3F;NODATE;17392331554219
98;Móveis Raiz;Av de Domingues, 19, 5967-438 Coimbra;Vinho;0.28 L;25124;Itália;4UR3GOPXCEPK;16/01/2034;08788034592441
99;Empresa do José;Praça Bruna Guerreiro, 79, 3661-431 Ovar;Camisola;434.14 kg;18880;França;5NYCYB74Y34S;15/05/2032;26972472231493
100;Padaria Central;Praça de Coelho, 79, 1239-756 Ovar;Sabonete;282.31 L;12258;Portugal;H0PSZ3RGPZWH;NODATE;05301924626885
101;Empresa Alfa;Alameda Barbosa, 341, 4348-296 Sabugal;Vinho;136.18 kg;19467;França;7G243KVPBHHK;29/10/2026;56960583522038
102;Global Tech;Rua de Correia, 89, 9633-270 Caldas da Rainha;Madeira;934 un;93982;França;4O5KOERDXSYN;22/10/2033;37686446738920
103;Empresa Alfa;Avenida da Boa Viagem, 76, 3854-973 Câmara de Lobos;Camisola;323.67 kg;53846;Brasil;9I3QXQFFYEU6;03/06/2030;40385860383211
104;Global Tech;Alameda Matias, 29, 8131-083 Cantanhede; Azeite;16753 mL;11986;China;ZEWXNK87VFOV;04/08/2034;90728478248353
105;Têxtil Lusa;Praça Madalena Assunção, S/N, 3613-387 Valpaços;Vinho;264.52 kg;62727;Portugal;9QJB4ZH1WW23;02/10/2032;19253832641874
106;Têxtil Lusa;Rua de Ramos, 774, 3515-489 Póvoa de Varzim;Vinho;133.94 kg;99702;China;Q0THL5IUYT1E;05/02/2031;90335484660018
107;Química Duarte;Rua Guerreiro, 25, 8547-454 Paredes;Pão;9359 g;65902;Alemanha;05LA032E1XN6;26/01/2027;22129153560388
108;Química Duarte;Av Ramos, 3, 3865-319 Rio Maior;Farinha;407.94 kg;38798;China;V24ASI8CRIUJ;17/07/2034;79094840974599
109;Padaria Central;Avenida de Carvalho, 89, 0942-275 Quarteira;Farinha;10168 g;98473;China;2XZ2AA4U3SPV;11/09/2028;97854485306863
110;Global Tech;Rua Areeiro, 2, 8681-468 Fafe;Cadeira;474 un;92368;Alemanha;0GUQ9REZL897;16/03/2033;61752103638485
111;Empresa do João;Rua de Nascimento, S/N, 8972-610 Braga;Vinho;15233 mL;27245;Brasil;7FGNXTY0FCZX;25/05/2035;90750344255892
112;Empresa do João;Rua do Machado, 45, 7250-251 Barcelos;Sabonete;805 un;53607;Brasil;SO6RVG0CDONP;NODATE;24939066551396
113;Global Tech;Alameda de Grijó, 97, 0459-823 Vendas Novas;Cadeira;823 un;45636;Alemanha;984V0LGOUGHK;12/04/2032;06312548408303
114;Empresa Alfa;Largo Alice Loureiro, 280, 8789-049 Fátima;Farinha;9995 g;38917;Alemanha;RBYGK2XM50T0;26/08/2025;78214616610154
115;Empresa do José;Alameda Maia, 5, 2878-590 Amarante;Sabonete;7540 mL;32396;Alemanha;MK7RE9PUSC0A;NODATE;85861787437669
116;Padaria Central;Largo Gil Santos, 871, 9496-737 Póvoa de Santa Iria;Pão;143.94 kg;71979;China;O39TLQFUGS8W;21/03/2031;79351490644917
117;Padaria Central;Praça de Assunção, 46, 2653-305 Lagoa;Madeira;721 un;83324;Alemanha;8MV3O0KZOB6J;25/03/2028;99038056725443
118;Empresa do José;R. Pereira, S/N, 8294-882 Vila Real;Madeira;18.22 kg;33870;França;6WJHZZW6OJPU;01/01/2031;72960986779058
119;Empresa do João;Travessa Nunes, 69, 1058-125 Valongo;Camisola;150.58 L;51637;Brasil;9VP9R9VJTIYY;NODATE;28276175906649
120;Têxtil Lusa;R. Marcos Matias, 85, 9025-692 Santana; Azeite;452.72 L;75787;Alemanha;VUWCS5YB9A0S;04/05/2032;62509615057434
121;Global Tech;Travessa Branco, 27, 7532-961 Amarante; Azeite;98.95 L;81514;Itália;19RR0UA7XCG8;13/10/2034;19997540960398
122;Global Tech;Rua de Batista, 4, 4007-642 Vila Real;Camisola;208.63 L;37858;Portugal;F8AKD7HPRF1L;NODATE;75477983641139
123;Empresa do João;Travessa Alexandre Macedo, 88, 5046-943 Sintra;Computador;16219 mL;54055;China;58HI647LGG1I;06/06/2031;23592686639471
124;Global Tech;Avenida Júlia Moreira, 86, 2794-935 Torres Novas; Azeite;149.54 L;74447;França;QUW3HGSDVLNR;22/06/2033;49701867711385
125;Padaria Central;Praça Bruno Miranda, S/N, 9624-878 Trofa;Madeira;10286 mL;57953;Brasil;KH1RCBIGT2GN;17/02/2033;90176443119351
126;Empresa do João;Praça Gonçalves, 6, 1524-123 Barreiro;Pão;36.32 L;72263;Itália;KOOHLE3GRNRC;NODATE;63061549433925
127;Móveis Raiz;Largo de Branco, 281, 8126-989 Vila Real;Cadeira;241.6 L;26979;Espanha;HSTEUKJNOGIN;05/01/2034;62507147061665
128;Empresa do José;Avenida Leite, S/N, 7537-087 Bragança;Vinho;258.15 L;60607;Itália;PFVRM4WZPL5P;02/08/2030;09599610034039
129;Padaria Central;Rua da Associação Empresarial de Portugal, 2, 1381-870 Portalegre;Sabonete;15867 g;96473;Brasil;HMUJ9FR7DC8R;03/04/2032;17943845091890
130;Padaria Central;Alameda Eduarda Macedo, 11, 9813-274 Gouveia;Cadeira;329.89 L;43106;Itália;DJQ2GNEAYW6G;12/12/2028;98560187766604
131;Móveis Raiz;Avenida de Cruz, S/N, 2747-698 Oliveira do Hospital;Farinha;7043 mL;75157;França;F6DUIO7WP3TG;10/02/2028;60939310234314
132;Padaria Central;R. de Freitas, 6, 2198-688 Vendas Novas;Camisola;10448 g;63618;Brasil;IMVNOMDXVDPP;02/08/2027;30702405573763
133;Empresa do José;Largo de Caselas, S/N, 2350-275 São Salvador de Lordelo;Impressora;3120 mL;49654;Espanha;RXOLZL4I74DQ;06/12/2028;58138619189382
134;Global Tech;R. Renato Macedo, 317, 2696-598 São Salvador de Lordelo;Cadeira;140.48 kg;43580;Itália;CF4E7R1ZRKWY;25/05/2030;07704531985966
135;Empresa do João;Rua Pereira, 71, 9355-870 Covilhã;Camisola;11625 g;32033;França;0TE28ITK23SH;12/03/2031;48077143108659
136;Global Tech;Av Borges, 28, 2916-382 Beja;Camisola;310.87 L;12657;Portugal;GWSY9JV1S9E7;31/10/2030;78804318914853
137;Móveis Raiz;Largo da Conceição, S/N, 1661-697 Viana do Castelo;Camisola;274.7 L;51934;Espanha;Y6VE2D9N8Q8R;06/06/2029;73454781830048
138;Móveis Raiz;R. do Calvário, 2, 6100-409 Guarda;Farinha;11846 mL;72136;França;Z0S52Z397QEY;21/12/2027;62955520873682
139;Empresa Alfa;Praça Correia, 5, 5967-737 Vila do Conde;Madeira;4845 g;97542;Itália;RA32LJZA3CP7;14/12/2030;10771129648789
140;Empresa do José;Av dos Vice-reis, 6, 9072-109 Mealhada;Madeira;493.67 kg;87777;Portugal;QVHF4TMQ3MLH;NODATE;50527239583816
141;Padaria Central;Rua Diana Pinto, 94, 6962-561 Ovar;Pão;13188 g;12152;China;9V4GKUCT82JS;23/09/2033;36418690072176
142;Empresa Alfa;Avenida das Antas, 17, 7202-378 Gafanha da Nazaré;Cadeira;482.57 L;18302;Brasil;H8PYP9UZM1Q8;18/10/2032;13830950145069
143;Empresa do João;Largo dos Pinheiros, 31, 1781-594 Rio Maior;Vinho;167 g;24155;Brasil;9L6PVDYKQPX8;25/12/2034;68247149608936
144;Padaria Central;Av Vicente, 96, 1275-242 Ponta Delgada;Madeira;52.64 kg;61947;Itália;XMKFW5V3B4JJ;07/08/2025;93679557388720
145;Empresa Alfa;Av de Neto, 2, 1139-729 Viseu; Azeite;2.41 kg;19108;Espanha;JWG44JEYG5G7;21/04/2028;68281567939961
146;Padaria Central;R. Hugo Coelho, S/N, 7037-300 Ponta Delgada;Madeira;803 un;16089;Itália;E732LBHXUE52;30/08/2031;09726421870870
147;Móveis Raiz;R. Moreira, 33, 8112-554 Oliveira do Bairro;Sabonete;141.4 L;31475;Itália;79PT585UMIGH;10/02/2027;38671410464477
148;Empresa do José;Alameda Lourenço Anjos, 56, 7559-916 Portalegre;Vinho;463 un;29083;Portugal;G20VLUFO62A7;NODATE;67038119805597
149;Empresa Alfa;Praça de José Serra, S/N, 6526-459 Valongo; Azeite;15521 mL;16950;Itália;L0XYW09N7ZQN;26/10/2034;76807552993181
150;Empresa do João;Avenida Silva, 31, 7098-469 Vila Real de Santo António;Madeira;350.17 L;66206;Espanha;HZBJ3L65TTED;08/02/2026;34260959812457
151;Empresa do João;Avenida Anjos, 10, 5197-905 Vale de Cambra;Farinha;35.41 L;22233;Alemanha;M4VAGOBGWIIW;13/01/2028;92389770867855
152;Global Tech;Av do Tronco, 657, 6724-283 Lagoa;Madeira;269.58 L;92323;Alemanha;YN0F6TRDFJKB;NODATE;19599338006201
153;Têxtil Lusa;Praça Sara Freitas, S/N, 5298-280 Horta;Impressora;709 un;48816;Itália;VBTVOJOCVCE6;13/08/2032;01993048591758
154;Padaria Central;Travessa Guerreiro, 97, 0975-804 Santa Maria da Feira;Sabonete;245.77 kg;20571;Itália;M8DBKAMKSUT1;13/12/2031;19338181244028
155;Empresa Alfa;Largo de Teixeira, 59, 9881-251 Covilhã;Computador;18005 mL;19508;Brasil;13J58ZWF4YE8;23/07/2030;89451090343482
156;Química Duarte;Alameda Matilde Bensaúde, 764, 4220-672 Aveiro;Computador;236.95 L;79630;China;CDWUM0PM7GY1;15/04/2028;24314488606712
157;Têxtil Lusa;R. de Jesus, 15, 5292-292 Costa da Caparica;Madeira;3208 mL;94961;Alemanha;EI54DCHNY1IC;18/05/2026;21042132058497
158;Empresa Alfa;Avenida Rocha, 92, 6047-896 Serpa;Cadeira;13160 g;74826;Brasil;PKOIZZANV97O;08/12/2027;68353729732511
159;Empresa Alfa;R. Luana Domingues, 61, 0381-291 Tondela;Sabonete;16614 g;31399;Portugal;XSNG4Y3QHEAU;02/04/2027;69135326693500
160;Têxtil Lusa;Largo Nicole Morais, 44, 7648-231 Albufeira;Camisola;9165 mL;87633;Brasil;OSP1M5FX1OVV;18/03/2033;48671271754975
161;Global Tech;Avenida Teresa Ferreira, S/N, 9775-813 Torres Vedras;Camisola;15251 g;13331;Alemanha;5RPYBH4WORC7;02/01/2034;80549405122518
162;Móveis Raiz;Rua Gustavo Oliveira, 940, 9323-921 Santiago do Cacém;Impressora;901 un;19886;Itália;VM7DB4YB6BWG;19/11/2028;42640030473198
163;Global Tech;Rua de Santo António dos Capuchos, S/N, 7477-277 Horta;Camisola;495 un;35911;Alemanha;JGD0HR579VQP;16/05/2034;02088452565931
164;Empresa do João;R. de Pacheco, 69, 5758-245 Angra do Heroísmo;Pão;455.73 kg;38494;França;00UZCD261K65;25/12/2027;48211028308810
165;Global Tech;R. de Pinto, 43, 7165-068 Guarda;Camisola;14399 g;46167;Brasil;O3060SP6Y8DO;14/02/2033;39639352384908
166;Empresa do João;R. Eduardo VII de Inglaterra, 3, 5825-939 Caldas da Rainha;Sabonete;105 un;44294;Portugal;85AY1B6IFSZR;05/08/2026;47365137225864
167;Empresa Alfa;Alameda Frederico Machado, 239, 8417-345 Santo Tirso;Madeira;421 un;91383;Brasil;U8I94OR9O8JM;05/03/2032;97587477070972
168;Têxtil Lusa;Avenida de Freitas, 33, 0094-728 Coimbra;Impressora;9548 g;94259;Alemanha;SP63GVUOL3DD;12/01/2032;02899225365832
169;Têxtil Lusa;Av Yara Monteiro, 87, 9022-560 Funchal;Impressora;549 un;17563;França;1Z7PQH05QCGP;08/02/2028;03235673105056
170;Têxtil Lusa;Av de Nova Sintra, 98, 3795-349 Viseu; Azeite;652 un;38880;China;RVU5PUUHGD3O;16/09/2025;65707654793943
171;Empresa do João;Travessa Campos, 47, 9944-420 Torres Vedras;Farinha;214 un;40566;Brasil;KO1JYBZP8XQY;02/07/2030;95591290540658
172;Têxtil Lusa;Largo de São Lourenço, 90, 0590-854 Moura;Camisola;475.98 kg;68801;Portugal;EC5AFYAQG3VV;08/09/2033;87563685206385
173;Móveis Raiz;Rua William Brito, 89, 5676-882 Felgueiras;Sabonete;8005 mL;84928;Alemanha;TN8NEAB3R80T;NODATE;42001384788836
174;Química Duarte;Avenida Vaz, S/N, 2851-333 Fiães;Camisola;170.76 L;79011;China;EYVPZY0XN51Y;21/08/2027;43708813421113
175;Empresa do João;Praça de Vieira, S/N, 4749-317 Rio Maior;Vinho;19339 g;22299;China;CNJ242PMRH2H;17/01/2035;84200979166124
